row_id,first_name,last_name,titles,highest_titles,gender,approx_birth_year,occupation,residence,region,nominate_party,member_party,party,abs_votes,pct_votes,rank,mandate
1,Jan,Barták,JUDr.,Doctor,Male,1947,právník,Čelákovice,Středočeský kraj,KSČM,BEZPP,Komunistická strana Čech a Moravy,125,0.22,-,44
2,Milan,Beneš,,No title,Male,1966,technik,Bělá pod Bezdězem,Středočeský kraj,KSČM,KSČM,Komunistická strana Čech a Moravy,143,0.26,-,37
3,Miloš,Bláha,,No title,Male,1966,zaměstnanec ČD,Pečky,Středočeský kraj,KSČM,KSČM,Komunistická strana Čech a Moravy,267,0.48,-,33
4,Antonín,Bradáč,,No title,Male,1956,zaměstnanec BA,Bečváry,Středočeský kraj,KSČM,KSČM,Komunistická strana Čech a Moravy,115,0.21,-,49
5,Rudolf,Carvan,Bc.,Bachelor,Male,1956,státní zaměstnanec,Kladno,Středočeský kraj,KSČM,BEZPP,Komunistická strana Čech a Moravy,96,0.17,-,54
6,Ivan,Cinka,Mgr.,Master,Male,1957,novinář,Benešov,Středočeský kraj,KSČM,KSČM,Komunistická strana Čech a Moravy,680,1.24,*,10
7,Vilém,Čechák,Ing.,Master,Male,1940,dopravní technik,Olbramovice,Středočeský kraj,KSČM,KSČM,Komunistická strana Čech a Moravy,180,0.32,-,47
8,Tomáš,Červenka,,No title,Male,1969,autodopravce,Chlumín,Středočeský kraj,KSČM,BEZPP,Komunistická strana Čech a Moravy,112,0.2,-,29
9,Jaroslava,Dolejší,,No title,Female,1947,úřednice,Slaný,Středočeský kraj,KSČM,KSČM,Komunistická strana Čech a Moravy,116,0.21,-,60
10,Josef,Dovolil,Ing.,Master,Male,1957,podnikatel,Mladá Boleslav,Středočeský kraj,KSČM,KSČM,Komunistická strana Čech a Moravy,550,1,-,13
11,Vladimír,Duník,,No title,Male,1957,mistr,Čelákovice,Středočeský kraj,KSČM,KSČM,Komunistická strana Čech a Moravy,158,0.28,-,40
