VOLKRAJ;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;POCPROCVSE;MANDAT;PORADIMAND;PORADINAHR
1;1;1;"Jana";"Èernochová";"Mgr.";"";43;"starostka MÈ Praha 2";"Praha";1;53;53;"A";12426;12.52;12.52;"A";2;0
1;1;2;"Filip";"Humplík";"";"";45;"podnikatel";"Praha";1;53;53;"A";5009;5.05;5.05;"N";0;2
1;1;3;"Václav";"Klaus";"Mgr.";"";48;"uèitel, publicista";"Praha";1;53;53;"A";22635;22.82;22.82;"A";1;0
1;1;4;"Bohuslav";"Svoboda";"doc. MUDr.";"CSc.";73;"lékaø, vysokoškolskı pedagog";"Praha";1;53;53;"A";12360;12.46;12.46;"A";3;0
1;1;5;"Jaroslava";"Janderová";"JUDr.";"";67;"právník, podnikatel";"Praha";1;53;53;"A";2012;0;2.02;"N";0;3
1;1;6;"Marek";"Benda";"";"";48;"politik";"Praha";1;53;53;"A";6183;6.23;6.23;"A";5;0
1;1;7;"Vladimíra";"Ludková";"Mgr.";"";38;"zakladatelka center aktivizaèních programù";"Praha";1;53;53;"A";5820;5.86;5.86;"N";0;1
1;1;8;"Ferdinand";"Polák";"MUDr.";"Ph.D.";44;"lékaø a starosta MÈ Praha - Klánovice";"Praha";1;53;53;"A";2645;0;2.66;"N";0;4
1;1;9;"Adam";"Váanskı";"Mgr.";"";41;"zástupce starosty MÈ Praha 9";"Praha";1;53;53;"A";1838;0;1.85;"N";0;5
1;1;10;"Alexander";"Bellu";"Mgr.";"";30;"místostarosta MÈ Praha 3";"Praha";1;53;53;"A";2038;0;2.05;"N";0;6
1;1;11;"Ladislav";"Linek";"Ing.";"";58;"ivnostník, 1. místopøedseda Strany soukromníkù ÈR";"Praha";1;716;53;"A";1914;0;1.92;"N";0;7
1;1;12;"Tomáš";"Korálek";"";"";55;"ivnostník";"Praha";1;53;53;"A";781;0;.78;"N";0;8
1;1;13;"Zdenìk";"Doleal";"Mgr.";"";43;"pøedseda vıboru ivotního prostøedí MÈ Praha 5";"Praha";1;53;53;"A";618;0;.62;"N";0;9
1;1;14;"Zdenìk";"Dvoøák";"JUDr. Mgr.";"Ph.D.";40;"øeditel Anglofonní základní školy";"Praha";1;53;53;"A";1096;0;1.1;"N";0;10
1;1;15;"Tomáš";"Bartovskı";"Mgr.";"";39;"konzultant";"Praha";1;53;53;"A";422;0;.42;"N";0;11
1;1;16;"Michal";"Frauenterka";"";"";50;"ivnostník";"Praha";1;53;53;"A";727;0;.73;"N";0;12
1;1;17;"Pavel";"áèek";"PhDr.";"Ph.D.";48;"historik, VŠ pedagog, zakladatel a 1. øeditel ÚSTR";"Praha";1;99;53;"A";6406;6.45;6.45;"A";4;0
1;1;18;"Jan";"Klusáèek";"Mgr.";"";33;"právník";"Pohoøí";539562;53;53;"A";621;0;.62;"N";0;13
1;1;19;"Ivo";"Syøištì";"PhDr.";"Ph.D.";52;"vysokoškolskı pedagog Univerzity Karlovy";"Praha";1;716;53;"A";1565;0;1.57;"N";0;14
1;1;20;"Jan";"Recman";"Mgr.";"";36;"právník";"Praha";1;53;53;"A";600;0;.6;"N";0;15
1;1;21;"Jan";"Jarolím";"Ing.";"";71;"starosta MÈ Praha 9, pùv. povoláním ing.-ekolog";"Praha";1;53;53;"A";940;0;.94;"N";0;16
1;1;22;"Aleš";"Borkovec";"JUDr. Ing.";"Ph.D.";46;"VŠ pedagog, zastupitel MÈ Praha 4, advokát";"Praha";1;53;53;"A";1358;0;1.36;"N";0;17
1;1;23;"Marie";"Kousalíková";"Ing.";"";71;"ekonom";"Praha";1;53;53;"A";1005;0;1.01;"N";0;18
1;1;24;"Jiøí";"Janák";"Ing.";"";51;"soukromı podnikatel";"Praha";1;53;53;"A";412;0;.41;"N";0;19
1;1;25;"Jitka";"Ryšavá";"RNDr.";"";56;"projektová manaerka";"Praha";1;53;53;"A";529;0;.53;"N";0;20
1;1;26;"Ladislav";"Marek";"";"";65;"ivnostník, èlen Rozšíøeného pøedsednictva SsÈR";"Praha";1;716;53;"A";680;0;.68;"N";0;21
1;1;27;"Pavel";"Horaïovskı";"MUDr.";"";42;"chirurg";"Praha";1;53;53;"A";1558;0;1.57;"N";0;22
1;1;28;"Ondøej";"Gros";"";"";42;"ivnostník";"Praha";1;53;53;"A";408;0;.41;"N";0;23
1;1;29;"Zlatuše";"Rybáøová";"Mgr.";"";52;"manaerka sociálních a zdravotních slueb";"Praha";1;53;53;"A";574;0;.57;"N";0;24
1;1;30;"Daniel";"Neumann";"";"";24;"právní asistent";"Praha";1;53;53;"A";332;0;.33;"N";0;25
1;1;31;"Jaroslav";"Hauer";"";"";59;"ivnostník";"Praha";1;716;53;"A";385;0;.38;"N";0;26
1;1;32;"Lucie";"Vítkovská";"Mgr.";"";32;"místostarostka MÈ Praha 3";"Praha";1;53;53;"A";576;0;.58;"N";0;27
1;1;33;"Michal";"Bednáø";"MUDr.";"";54;"privátní chirurg";"Praha";1;53;53;"A";549;0;.55;"N";0;28
1;1;34;"Ondøej";"Kubín";"Ing.";"MBA";35;"øeditel pro inovace";"Praha";1;53;53;"A";453;0;.45;"N";0;29
1;1;35;"Jakub";"Drábek";"Mgr.";"";43;"advokát, pedagog";"Praha";1;53;53;"A";441;0;.44;"N";0;30
1;1;36;"Richard";"Bureš";"";"";53;"zástupce starosty MÈ Praha 1";"Praha";1;53;53;"A";380;0;.38;"N";0;31
1;2;1;"Antonie";"Krzemieòová";"";"";59;"spisovatelka";"Praha";1;769;769;"A";28;0;4.36;"N";0;0
1;2;2;"Pavel";"Záleskı";"";"";48;"šéfkuchaø";"Praha";1;769;769;"A";25;0;3.89;"N";0;0
1;2;3;"Kateøina";"Dvoøáková";"";"";38;"finanèní makléøka";"Praha";1;769;769;"A";31;0;4.82;"N";0;0
1;2;4;"Michal";"Trebichalskı";"";"";30;"ostraha letištì";"Praha";1;769;769;"A";36;5.6;5.6;"N";0;0
1;2;5;"Martin";"Šalek";"Mgr.";"";47;"tiskovı mluvèí";"Praha";1;769;769;"A";27;0;4.2;"N";0;0
1;2;6;"Milan";"Hoøínek";"";"";53;"nutrièní poradce";"Praha";1;769;769;"A";2;0;.31;"N";0;0
1;2;7;"Pavlína";"Obrovská";"";"";52;"referent";"Praha";1;769;769;"A";10;0;1.55;"N";0;0
1;2;8;"Lucie";"Janufová";"";"";34;"obchodní zástupce";"Praha";1;769;769;"A";5;0;.77;"N";0;0
1;2;9;"Alena";"Valeèková";"Mgr.";"";35;"vıivová poradkynì";"Praha";1;769;769;"A";9;0;1.4;"N";0;0
1;2;10;"Ondøej";"Nerad";"Mgr.";"";46;"profesionální hasiè";"Kladno";532053;99;769;"A";22;0;3.42;"N";0;0
1;2;11;"Tomáš Calvin";"Klein";"";"";53;"podnikatel";"Praha";1;769;769;"A";5;0;.77;"N";0;0
1;2;12;"Jan";"Csongár";"";"";48;"voják";"Praha";1;99;769;"A";13;0;2.02;"N";0;0
1;2;13;"Kateøina";"Švecová";"";"";32;"vedoucí prodeje";"Svìtlá nad Sázavou";569569;769;769;"A";8;0;1.24;"N";0;0
1;2;14;"Eduard";"Vlk";"";"";64;"dùchodce";"Praha";1;769;769;"A";9;0;1.4;"N";0;0
1;2;15;"Filip";"Mõsner";"";"";44;"podnikatel";"Senohraby";538752;769;769;"A";5;0;.77;"N";0;0
1;2;16;"Lucie";"Tillová";"";"";39;"podnikatelka";"Praha";1;769;769;"A";8;0;1.24;"N";0;0
1;2;17;"Radek";"Ritschel";"";"";41;"bezpeènostní pracovník";"Praha";1;769;769;"A";20;0;3.11;"N";0;0
1;2;18;"Alizah Isabelle";"Kardis";"";"";38;"tlumoènice";"Praha";1;769;769;"A";4;0;.62;"N";0;0
1;2;19;"Václav";"Špáta";"";"";42;"podnikatel";"Praha";1;769;769;"A";8;0;1.24;"N";0;0
1;2;20;"Josef";"Vals";"";"";53;"provozní";"Øíèany";538728;769;769;"A";1;0;.15;"N";0;0
1;2;21;"Jaroslav";"Vlasák";"";"";31;"kuchaø";"Praha";1;769;769;"A";20;0;3.11;"N";0;0
1;2;22;"Tomáš";"Hynek";"";"";76;"ostraha objektu";"Praha";1;769;769;"A";4;0;.62;"N";0;0
1;2;23;"Natálie";"Kotková";"";"";43;"pracovnice logistiky";"Praha";1;769;769;"A";6;0;.93;"N";0;0
1;2;24;"Jiøí";"Kos";"";"";34;"øidiè";"Praha";1;769;769;"A";6;0;.93;"N";0;0
1;2;25;"Jana";"Hanzálková";"";"";43;"vedoucí obchodu";"Praha";1;769;769;"A";1;0;.15;"N";0;0
1;2;26;"Ladislav";"Kuèera";"";"";50;"invalidní dùchodce";"Praha";1;769;769;"A";2;0;.31;"N";0;0
1;2;27;"Jaroslav";"Èernı";"";"";38;"strojní mechanik";"Praha";1;769;769;"A";4;0;.62;"N";0;0
1;2;28;"Michal";"Cani";"";"";23;"student";"Praha";1;769;769;"A";4;0;.62;"N";0;0
1;2;29;"Milena";"Kabelová";"";"";55;"invalidní dùchodkynì";"Praha";1;769;769;"A";2;0;.31;"N";0;0
1;2;30;"Jan";"Trebichalskı";"";"";61;"hasiè";"Praha";1;769;769;"A";13;0;2.02;"N";0;0
1;2;31;"Nela";"Pokorná";"Bc.";"";26;"studentka";"Praha";1;769;769;"A";15;0;2.33;"N";0;0
1;2;32;"Dana";"Bílková";"";"";51;"prodavaèka";"Praha";1;769;769;"A";7;0;1.09;"N";0;0
1;2;33;"Alena";"Bendová";"";"";59;"prodavaèka";"Praha";1;769;769;"A";9;0;1.4;"N";0;0
1;2;34;"Andrea";"Lacinová Jarošová";"Mgr.";"";30;"advokátka";"Praha";1;769;769;"A";8;0;1.24;"N";0;0
1;2;35;"Ladislav";"Švec";"";"";64;"umìleckı skláø";"Svìtlá nad Sázavou";569569;769;769;"A";2;0;.31;"N";0;0
1;2;36;"Olga";"Havlíèková";"";"";44;"prodavaèka";"Neratovice";535087;769;769;"A";3;0;.46;"N";0;0
1;3;1;"Lucie";"Meškanová";"Mgr.";"";43;"lektorka a konzultantka v oblasti komunikace";"Praha";1;1177;1177;"A";46;11.3;11.3;"N";0;0
1;3;2;"Tomáš";"Begany";"Ing.";"";41;"projektovı manaer";"Praha";1;1177;1177;"A";28;6.87;6.87;"N";0;0
1;3;3;"Marie";"Zítková";"";"";74;"lektorka celostního pøístupu ke zdraví";"Praha";1;99;1177;"A";28;6.87;6.87;"N";0;0
1;3;4;"Jaroslav";"Havel";"";"";36;"podnikatel ve finanènictví a projekt. koordinátor";"Èeskı Krumlov";545392;1177;1177;"A";16;0;3.93;"N";0;0
1;3;5;"Simona";"Pešková";"";"";44;"OSVÈ v oblasti marketingu a osobního rozvoje";"Èernošice";539139;1177;1177;"A";15;0;3.68;"N";0;0
1;3;6;"Vìra";"Fedorková";"Bc.";"";59;"speciální pedagog, nyní dùchodce";"Praha";1;1177;1177;"A";13;0;3.19;"N";0;0
1;3;7;"Dana";"Šitnerová";"";"";59;"masérka a muzikoterapeutka";"Praha";1;1177;1177;"A";26;6.38;6.38;"N";0;0
1;4;1;"Petr";"Dolínek";"";"";36;"námìstek primátorky";"Praha 6";1;7;7;"A";2322;6.81;6.81;"A";1;0
1;4;2;"Lukáš";"Kauckı";"PhDr.";"";35;"námìstek ministra";"Praha";1;7;7;"A";1310;0;3.84;"N";0;3
1;4;3;"Lenka";"Teska Arnoštová";"JUDr.";"Ph.D.";42;"námìstkynì ministra";"Praha";1;7;7;"A";2054;6.02;6.02;"N";0;1
1;4;4;"Roman";"Petrus";"";"";39;"starosta mìstské èásti Praha 8";"Praha";1;7;7;"A";1123;0;3.29;"N";0;4
1;4;5;"František";"Adámek";"Bc.";"";62;"poslanec Parlamentu ÈR";"Praha";1;7;7;"A";684;0;2;"N";0;5
1;4;6;"Radim";"Hejduk";"Ing.";"";26;"ekonom";"Praha";1;7;7;"A";1153;0;3.38;"N";0;6
1;4;7;"Šárka";"Táborská";"Mgr.";"";34;"právnièka, zastupitelka Prahy 1";"Praha";1;7;7;"A";885;0;2.59;"N";0;7
1;4;8;"Milan";"Hausner";"Ing.";"";62;"bıvalı øeditel ZŠ Lupáèova, pedagogickı odborník";"Praha";1;99;7;"A";840;0;2.46;"N";0;8
1;4;9;"Milan";"Hrdı";"doc. JUDr. Ing.";"Ph.D.";50;"vysokoškolskı uèitel";"Praha";1;7;7;"A";1166;0;3.42;"N";0;9
1;4;10;"Jan";"Dufek";"JUDr.";"";62;"právník";"Praha";1;7;7;"A";345;0;1.01;"N";0;10
1;4;11;"Miroslav";"Jašurek";"Mgr.";"";34;"politolog";"Praha";1;7;7;"A";446;0;1.3;"N";0;11
1;4;12;"Miroslava";"Skovajsová";"MUDr.";"Ph.D.";60;"lékaøka, radioloka";"Praha";1;99;7;"A";1826;5.35;5.35;"N";0;2
1;4;13;"Jana";"Trková";"MUDr.";"";64;"lékaøka, mikrobioloka, zástup. starosty Prahy 15";"Praha";1;7;7;"A";693;0;2.03;"N";0;12
1;4;14;"David";"Beòák";"Mgr.";"DiS.";38;"námìstek ministra";"Praha";1;7;7;"A";348;0;1.02;"N";0;13
1;4;15;"Jan";"Smetana";"Mgr.";"";58;"ivnostník";"Praha";1;7;7;"A";200;0;.58;"N";0;14
1;4;16;"Vladimír";"Novák";"Ing.";"";61;"starosta mìstské èásti Praha 10";"Praha";1;7;7;"A";324;0;.95;"N";0;15
1;4;17;"Jaroslav";"Zavadil";"";"";73;"poslanec Parlamentu ÈR";"Nové Mìsto nad Metují";574279;99;7;"A";697;0;2.04;"N";0;16
1;4;18;"Marcela";"Dudková";"";"";47;"ivnostník, ekonomka";"Praha";1;7;7;"A";309;0;.9;"N";0;17
1;4;19;"Pavel";"Hodek";"Mgr. Bc.";"";43;"ivnostník";"Praha";1;7;7;"A";168;0;.49;"N";0;18
1;4;20;"Anna";"Dumont";"Mgr.";"";33;"socioloka, vedoucí neziskové organizace";"Velká Leèice";513539;7;7;"A";679;0;1.99;"N";0;19
1;4;21;"Jiøí";"Vohlídal";"Ing.";"Ph.D.";41;"odborník na informaèní technologie";"Praha";1;7;7;"A";386;0;1.13;"N";0;20
1;4;22;"Lenka";"Cejpková";"Bc.";"";44;"porodní asistentka";"Praha";1;7;7;"A";533;0;1.56;"N";0;21
1;4;23;"Vilém";"Èáp";"Ing.";"";27;"doktorand Katedry hos. a soc.politiky NF VŠE Praha";"Praha";1;7;7;"A";465;0;1.36;"N";0;22
1;4;24;"Vít";"Céza";"Mgr.";"";31;"doktorand Pøírodovìdecké fakulty UK";"Praha";1;7;7;"A";350;0;1.02;"N";0;23
1;4;25;"Alena";"Èervená";"Mgr.";"";56;"uèitelka";"Praha";1;7;7;"A";425;0;1.24;"N";0;24
1;4;26;"Jiøí";"Brych";"Ing.";"";41;"øeditel bezpeènosti - Kongresové centrum Praha";"Praha";1;7;7;"A";165;0;.48;"N";0;25
1;4;27;"Miroslava";"Dušková Smrèková";"Ing.";"Dr.";50;"vìdecká pracovnice";"Praha";1;7;7;"A";366;0;1.07;"N";0;26
1;4;28;"Gabriela";"Koèková";"";"";26;"OSVÈ";"Praha";1;7;7;"A";204;0;.59;"N";0;27
1;4;29;"František";"Mûhlfeit";"JUDr.";"";72;"právník";"Praha";1;7;7;"A";163;0;.47;"N";0;28
1;4;30;"Mirka";"Havlová";"";"";59;"ivnostník";"Praha";1;7;7;"A";124;0;.36;"N";0;29
1;4;31;"Kateøina";"Peštová";"";"";34;"pøedsedkynì vıboru ZMÈ Praha 10";"Praha";1;7;7;"A";173;0;.5;"N";0;30
1;4;32;"Renata";"Bednáøová";"Ing. Bc.";"";50;"vedoucí oddìlení ÚSU";"Praha";1;7;7;"A";79;0;.23;"N";0;31
1;4;33;"Martina";"Bucková";"Mgr. Bc.";"";33;"speciální pedagog, ergoterapeutka";"Praha";1;7;7;"A";325;0;.95;"N";0;32
1;4;34;"Michaela";"Šupinová";"Ing.";"";34;"podnikatelka";"Praha";1;7;7;"A";117;0;.34;"N";0;33
1;4;35;"Petr";"Serafín";"Ing.";"";64;"øeditel odboru stavebnictví Minis. prùm. a obchodu";"Praha";1;7;7;"A";220;0;.64;"N";0;34
1;4;36;"Jakub";"Štìdroò";"Mgr.";"Ph.D.";38;"øeditel neziskové organizace";"Praha";1;7;7;"A";368;0;1.07;"N";0;35
1;5;1;"Petr";"Cibulka";"";"";66;"pøedseda strany a autor programu, novináø";"Praha";1;98;98;"A";88;17.92;17.92;"N";0;0
1;5;2;"Miloslava";"Jebavá";"PhDr.";"";64;"pøekladatelka, tlumoènice, novináøka, uèitelka";"Jilemnice";577197;98;98;"A";32;6.51;6.51;"N";0;0
1;5;3;"Mirko";"Horáèek";"";"";60;"podnikatel a obchodní manaer";"Praha";1;99;98;"A";14;0;2.85;"N";0;0
1;5;4;"Zbyhnìv";"Zientek";"MUDr.";"";57;"zubní lékaø";"Tøinec";598810;99;98;"A";10;0;2.03;"N";0;0
1;5;5;"Milan";"Koèík";"";"";62;"léèitel, ivnostník a Èeskı ombudsman";"ïár nad Sázavou";595209;99;98;"A";6;0;1.22;"N";0;0
1;5;6;"Milan";"Mikeš";"Mgr.";"";46;"poèítaèovı specialista";"Øímov";545007;99;98;"A";4;0;.81;"N";0;0
1;5;7;"Gustav";"Baumann";"";"";46;"zootechnik - vedoucí farmy";"Podboøany";566616;99;98;"A";4;0;.81;"N";0;0
1;5;8;"Stanislav";"Vilím";"";"";46;"technik údrby letadel";"Starı Kolín";533700;99;98;"A";3;0;.61;"N";0;0
1;5;9;"Oldøich";"Štembera";"MUDr.";"";68;"lékaø";"Plzeò";2;99;98;"A";2;0;.4;"N";0;0
1;5;10;"Vilém";"Schick";"";"";55;"trenér bojovıch umìní";"Praha";1;99;98;"A";3;0;.61;"N";0;0
1;5;11;"Jan";"Beèka";"";"";39;"koordinátor";"Ohrazenice";577359;99;98;"A";4;0;.81;"N";0;0
1;5;12;"Zdenìk";"Macíèek";"";"";34;"specialista informaèních technologií";"Frıdek-Místek";598003;99;98;"A";5;0;1.01;"N";0;0
1;5;13;"Miroslav";"Roubínek";"";"";42;"správce poèítaèové sítì";"Verušièky";555711;99;98;"A";6;0;1.22;"N";0;0
1;5;14;"Karel";"Palát";"";"";59;"vedoucí montér";"Tøebíè";590266;99;98;"A";1;0;.2;"N";0;0
1;5;15;"Leopold";"Spitzer";"";"";58;"strojník vodohospodáøskıch zaøízení";"Mezimìstí";574252;99;98;"A";5;0;1.01;"N";0;0
1;5;16;"Karel";"Foltis";"";"";51;"stavební technik";"Neplachovice";553158;99;98;"A";3;0;.61;"N";0;0
1;5;17;"Mirko";"Popelka";"";"";46;"podnikatel";"Zahájí";536016;99;98;"A";1;0;.2;"N";0;0
1;5;18;"Miroslav";"Viška";"";"";50;"pojišovací poradce";"Letovice";581917;99;98;"A";0;0;0;"N";0;0
1;5;19;"Miroslav";"Durdil";"";"";68;"volnı novináø";"Praha";1;99;98;"A";5;0;1.01;"N";0;0
1;5;20;"František";"Stanìk";"";"";61;"uèitel";"Praha";1;99;98;"A";5;0;1.01;"N";0;0
1;5;21;"Martin";"Krámek";"";"";57;"chemik - operátor";"Pardubice";6;99;98;"A";1;0;.2;"N";0;0
